DATAFLOW,MEASURE,INDEX,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,DECIMALS,OBS_COMMENT,BASE_PERIOD
ABS:CPI(2.0.0),1,10001,10,50,Q,2025-Q4,100.3,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2025-Q3,99.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2025-Q2,98.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2025-Q1,97.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2024-Q4,96.8,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2024-Q3,96.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2024-Q2,96.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2024-Q1,95.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2023-Q4,94.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2023-Q3,93.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2023-Q2,92.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2023-Q1,92.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2022-Q4,90.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2022-Q3,89.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2022-Q2,87.6,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2022-Q1,86.1,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2021-Q4,84.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2021-Q3,83.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2021-Q2,82.5,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2021-Q1,81.9,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2020-Q4,81.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2020-Q3,80.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2020-Q2,79.4,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2020-Q1,81,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2019-Q4,80.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2019-Q3,80.2,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2019-Q2,79.7,,,,,
ABS:CPI(2.0.0),1,10001,10,50,Q,2019-Q1,79.2,,,,,
